block_seed,architecture,condition,family,lambda,rho,mu,graph_index,graph_id,log_loss,accuracy,brier
17,mean,source,source,24.0,0.6,0.35,0,target:17:source:0:1780177112,0.04327660799026489,0.984375,0.01237780787050724
17,mean_degree,source,source,24.0,0.6,0.35,0,target:17:source:0:1780177112,0.04071862995624542,0.98486328125,0.011938102543354034
17,sum,source,source,24.0,0.6,0.35,0,target:17:source:0:1780177112,0.045720379799604416,0.982666015625,0.013413378968834877
17,pna,source,source,24.0,0.6,0.35,0,target:17:source:0:1780177112,0.05565859377384186,0.980224609375,0.015423917211592197
17,mean,source,source,24.0,0.6,0.35,1,target:17:source:1:549493605,0.04170599952340126,0.985595703125,0.011278358288109303
17,mean_degree,source,source,24.0,0.6,0.35,1,target:17:source:1:549493605,0.03927674517035484,0.986083984375,0.010712823830544949
17,sum,source,source,24.0,0.6,0.35,1,target:17:source:1:549493605,0.04089972376823425,0.98583984375,0.010862572118639946
17,pna,source,source,24.0,0.6,0.35,1,target:17:source:1:549493605,0.06375809013843536,0.977783203125,0.017604954540729523
17,mean,source,source,24.0,0.6,0.35,2,target:17:source:2:1978673763,0.0436285063624382,0.983642578125,0.011942267417907715
17,mean_degree,source,source,24.0,0.6,0.35,2,target:17:source:2:1978673763,0.041488442569971085,0.985107421875,0.011523408815264702
17,sum,source,source,24.0,0.6,0.35,2,target:17:source:2:1978673763,0.04177611321210861,0.984619140625,0.011732568964362144
17,pna,source,source,24.0,0.6,0.35,2,target:17:source:2:1978673763,0.059897202998399734,0.978515625,0.016248680651187897
17,mean,source,source,24.0,0.6,0.35,3,target:17:source:3:2112723038,0.046407900750637054,0.98388671875,0.01247404608875513
17,mean_degree,source,source,24.0,0.6,0.35,3,target:17:source:3:2112723038,0.043142713606357574,0.985107421875,0.011841846629977226
17,sum,source,source,24.0,0.6,0.35,3,target:17:source:3:2112723038,0.05330682173371315,0.98193359375,0.014347715303301811
17,pna,source,source,24.0,0.6,0.35,3,target:17:source:3:2112723038,0.052167244255542755,0.98291015625,0.013958025723695755
17,mean,source,source,24.0,0.6,0.35,4,target:17:source:4:1694960662,0.03635070472955704,0.988525390625,0.009893704205751419
17,mean_degree,source,source,24.0,0.6,0.35,4,target:17:source:4:1694960662,0.03685789182782173,0.9873046875,0.00993381068110466
17,sum,source,source,24.0,0.6,0.35,4,target:17:source:4:1694960662,0.03861388936638832,0.984619140625,0.010734798386693
17,pna,source,source,24.0,0.6,0.35,4,target:17:source:4:1694960662,0.04701029881834984,0.9853515625,0.0123706990852952
17,mean,source,source,24.0,0.6,0.35,5,target:17:source:5:813481915,0.0864228755235672,0.968505859375,0.02365846559405327
17,mean_degree,source,source,24.0,0.6,0.35,5,target:17:source:5:813481915,0.07915660738945007,0.97021484375,0.022289298474788666
17,sum,source,source,24.0,0.6,0.35,5,target:17:source:5:813481915,0.09315835684537888,0.967041015625,0.025179104879498482
17,pna,source,source,24.0,0.6,0.35,5,target:17:source:5:813481915,0.09564761817455292,0.962158203125,0.027070069685578346
17,mean,source,source,24.0,0.6,0.35,6,target:17:source:6:296457972,0.035500138998031616,0.986572265625,0.009852476418018341
17,mean_degree,source,source,24.0,0.6,0.35,6,target:17:source:6:296457972,0.035455867648124695,0.986328125,0.009797399863600731
17,sum,source,source,24.0,0.6,0.35,6,target:17:source:6:296457972,0.039443355053663254,0.98681640625,0.010317811742424965
17,pna,source,source,24.0,0.6,0.35,6,target:17:source:6:296457972,0.05034324899315834,0.9833984375,0.013242306187748909
17,mean,source,source,24.0,0.6,0.35,7,target:17:source:7:1412573783,0.038799948990345,0.984619140625,0.011104823090136051
17,mean_degree,source,source,24.0,0.6,0.35,7,target:17:source:7:1412573783,0.03551916778087616,0.985107421875,0.010260584764182568
17,sum,source,source,24.0,0.6,0.35,7,target:17:source:7:1412573783,0.039134904742240906,0.9853515625,0.011183361522853374
17,pna,source,source,24.0,0.6,0.35,7,target:17:source:7:1412573783,0.05413191765546799,0.97998046875,0.014848622493445873
17,mean,lambda_low,degree,12.0,0.6,0.35,0,target:17:lambda_low:0:945522146,0.42126113176345825,0.9013671875,0.08260053396224976
17,mean_degree,lambda_low,degree,12.0,0.6,0.35,0,target:17:lambda_low:0:945522146,0.26017099618911743,0.89404296875,0.07778124511241913
17,sum,lambda_low,degree,12.0,0.6,0.35,0,target:17:lambda_low:0:945522146,0.2505984902381897,0.895263671875,0.0767698734998703
17,pna,lambda_low,degree,12.0,0.6,0.35,0,target:17:lambda_low:0:945522146,0.3636547029018402,0.893310546875,0.08672041445970535
17,mean,lambda_low,degree,12.0,0.6,0.35,1,target:17:lambda_low:1:1229450425,0.3891123831272125,0.906982421875,0.07828637957572937
